#Runcat,eta,V,flux,fluxrat,freq,dpts,RA,Dec,ttype,maxRmsSigma,minRmsSigma,detectionThreshold
1115,3200.29002459,1.41961812947,6.20634772126,4.09711183011,149,8,135.010343504413,52.1451889228257,1,165.0126944,394.037019237,8.0
1121,27586.6918541,1.23100242528,24.7480751544,4.06316438813,149,10,135.008712705046,52.144544518032,2,0,0,0
1148,2139.52839972,1.35097057031,6.19244582646,3.94766890496,149,8,135.00810919859,52.1443281927227,1,144.192481363,368.019339911,8.0
1168,72067.4854978,1.39364594768,24.8866574014,4.03241238848,149,8,135.008642543844,52.1442186753747,1,487.773116527,1777.31149089,8.0
1186,91972.084505,0.982663754044,24.8467210173,2.58121675898,149,5,135.009036675615,52.1443547804811,1,762.816357331,1963.20081425,8.0
1201,856.387408652,0.251251406442,6.40180067569,1.62525338519,149,10,135.012318756487,52.1450441852487,2,0,0,0
1223,8806.28862771,1.28557531015,12.7648127937,4.20067911825,149,10,135.009420450252,52.1445798325759,2,0,0,0
1241,357796.063459,1.5999888577,49.7198676311,4.98047346341,149,10,135.009034763645,52.1442832901079,2,0,0,0
1266,3200.29002459,1.41961812947,6.20634772126,4.09711183011,149,8,135.010343504413,52.1451889228257,1,165.0126944,394.037019237,8.0
1272,27586.6918541,1.23100242528,24.7480751544,4.06316438813,149,10,135.008712705046,52.144544518032,2,0,0,0
1299,2139.52839972,1.35097057031,6.19244582646,3.94766890496,149,8,135.00810919859,52.1443281927227,1,144.192481363,368.019339911,8.0
1319,72067.4854978,1.39364594768,24.8866574014,4.03241238848,149,8,135.008642543844,52.1442186753747,1,487.773116527,1777.31149089,8.0
1337,75973.0362255,1.37885902502,24.8467210173,4.00006453834,149,8,135.008982586251,52.144241521304,1,762.816357331,1963.20081425,8.0
1347,2869.73867645,0.953231360208,6.25708135739,3.37235792472,149,10,135.009385034897,52.1444367539723,2,0,0,0
1372,43.7388550802,1.42806351938,0.73838784444,4.16672711497,149,8,135.008702099802,52.1445478586862,1,21.4848859286,56.4121129768,8.0
1385,2952.04310497,1.23121197377,6.24011293777,4.06063870906,149,10,135.009088092764,52.1447184405154,2,0,0,0
1403,289564.803827,1.210751351,49.7362979771,4.0118046352,149,10,135.009129465396,52.1444108232131,2,0,0,0
1428,319471.612667,0.942770775598,49.7467016238,3.34534335739,149,10,135.009004331222,52.1443621489563,2,0,0,0
1449,9.5730443647,0.274315856339,0.725555081472,1.68669548131,149,10,135.008759516548,52.1427415464432,2,0,0,0
1471,56.9701056974,0.828332683214,0.768084666168,2.80500045038,149,8,135.00945486533,52.1454527338486,1,30.7741801858,67.7017694525,8.0
1477,17872.4844675,1.51248338132,12.9214336899,4.76281225128,149,10,135.009752310877,52.1443114310906,2,0,0,0
1508,2.03327307798,0.248449290565,0.207357579218,1.55336191943,149,8,135.010833838745,52.143106858807,0,6.82270968857,20.2088666335,8.0
1516,61.9774439397,0.71099410632,0.791095168192,2.77464635133,149,10,135.05595995416,52.1315002935627,2,0,0,0
1528,1821.58985758,1.3724564208,3.18119460116,3.99072617187,149,8,135.012053803284,52.1440253903532,1,88.081888302,328.222117169,8.0
1542,6.42620570815,0.486359105789,0.405384066896,2.05292079559,149,8,135.012882920245,52.1453988653678,0,10.8503279463,31.0505570327,8.0
1554,9537.94068599,1.41976897754,12.9021775362,4.53200935669,149,10,135.007988419025,52.1448784100505,2,0,0,0
1590,2906.99332338,0.604635146788,6.24874236057,2.50484681961,149,10,135.008908117433,52.1442761767432,2,0,0,0
1632,9.77928191332,1.22978793895,0.388760022188,3.71903246991,149,8,135.008487041895,52.1439893874576,1,11.9098093096,32.8674533671,8.0
1652,163031.154479,1.39013722055,49.7230463662,4.02441391067,149,8,135.008555767062,52.1443788420445,1,1894.3514007,3884.13379806,8.0
1660,173.270369353,0.27411640205,3.12625934116,1.6825446951,149,10,135.009012627309,52.1442384489416,2,0,0,0
1689,17497.5556132,1.3637310014,12.9141493645,3.96708311169,149,8,135.008501976391,52.1439476596564,1,458.17683442,1466.70328869,8.0
1703,131.736224584,0.951005821278,1.51263650739,3.08637222105,149,8,135.007447159161,52.1448233484425,1,53.5908536355,117.809891289,8.0
1714,9997.96530333,0.957292439927,12.9228557595,3.38154949337,149,10,135.008894549193,52.1442197366071,2,0,0,0
1733,202233.441674,1.51744061897,49.6718331366,4.77371370652,149,10,135.009156523383,52.1443775083435,2,0,0,0
1756,93746.2086529,1.57654806883,24.8398372999,4.92279934108,149,10,135.009315221034,52.1442567358547,2,0,0,0
1783,18401.6346172,1.41445493185,12.90558887,4.07771549535,149,8,135.009459927172,52.1438111711602,1,415.105501056,1008.30589165,8.0
1794,3.00092866871,0.277690099319,0.362383257792,1.69427378876,149,10,135.00729463969,52.1448720642239,2,0,0,0
1812,115980.164146,1.41209183702,49.6192072671,4.51311697181,149,10,135.00931805073,52.1445816619815,2,0,0,0
1845,534.220945261,1.24997912472,3.13771366347,3.73175507488,149,8,135.00977737716,52.1442941444734,1,70.8370545282,248.588799559,8.0
1867,49686.8397587,1.22937873296,25.215854486,3.6786173573,149,8,135.009906290805,52.1397363087907,1,600.408452256,1715.55080251,8.0
1874,119.176980499,0.643030413445,1.55754287851,2.60037390177,149,10,135.009569892432,52.1448738600771,2,0,0,0
1893,4332.06314659,0.614194666964,12.8928162646,2.52685808175,149,10,135.009657052018,52.144865614454,2,0,0,0
1908,654.041623358,0.61651990907,3.17161438045,2.53506948759,149,10,135.008850145638,52.1443613996428,2,0,0,0
1935,287.973061349,1.12469418456,1.57226389005,3.45060235165,149,8,135.008497461365,52.1442660350718,1,51.1332826266,142.137792412,8.0
1947,567.998775912,0.970636177316,3.12238320936,3.42037221435,149,10,135.009494168409,52.1442113905018,2,0,0,0
1976,2181.63954175,1.28661627944,6.16996801687,3.80577155967,149,8,135.009067837237,52.1438978067712,1,143.804130413,349.406026792,8.0
1990,66357.0698616,1.39561567764,24.8692702083,4.47138429924,149,10,135.008919680302,52.1443675989498,2,0,0,0
