#Runcat,eta,V,flux,fluxrat,freq,dpts,RA,Dec,ttype,maxRmsSigma,minRmsSigma,detectionThreshold
85,3007.83421402,0.965867637469,6.22031822064,2.56922610874,149,9,135.009445374679,52.1443126746612,1,11.9663212674,33.6091504792,8.0
91,43545.2550619,0.906882300112,24.6908610258,2.56776989363,149,10,135.009216542581,52.1443600649005,2,0,0,0
116,2861.57544914,0.930617905928,6.18769037187,2.51635683193,149,9,135.008181763509,52.1445300935626,1,19.0194075978,60.0105019372,8.0
133,89680.654206,0.963931402868,24.7899756058,2.56278041899,149,9,135.009413302428,52.1441080751912,1,80.7192296969,186.968193958,8.0
147,53731.7788839,0.958525458743,24.7528394906,2.55589276989,149,9,135.009625250213,52.1443530884793,1,56.6164289461,211.891985907,8.0
156,2064.68261596,0.769283124044,6.22438823922,2.32877028904,149,10,135.009586218744,52.144348258338,2,0,0,0
184,137.876348934,0.883370881436,0.780502167349,2.33824295164,149,8,135.009577639791,52.1433013400146,0,8.28916453495,23.3509338631,8.0
191,1948.16911143,0.91773847966,6.15410240184,2.58652402527,149,10,135.010050304668,52.1445236566859,2,0,0,0
207,247383.693019,0.892490852738,49.710311176,2.54125851748,149,10,135.009031296611,52.1443541454603,2,0,0,0
236,542.362694636,0.968089753284,1.57436121668,2.58532816902,149,9,135.008729679316,52.1432540056408,0,6.45561692821,15.8968978323,8.0
252,110566.388684,0.760002658038,49.6136267678,2.31289053783,149,10,135.009086274886,52.1443454143041,2,0,0,0
271,10.7187594698,0.335988344867,0.673400694107,1.57236050201,149,10,135.009994434946,52.1439527281524,2,0,0,0
303,114.810164017,0.702470449154,0.777671107473,2.14560169556,149,9,135.010521791486,52.1456553604817,0,4.67381663947,15.9710149884,8.0
314,7728.01749541,0.93060164223,12.8864476379,2.50939187728,149,9,135.00927673215,52.1443878926268,1,24.1489153176,126.133136063,8.0
330,2.38629883163,0.268644811408,0.194614077062,1.4149512151,149,9,135.008082026354,52.1438706339094,2,0,0,0
349,905.09633964,0.972244306949,3.13628442587,2.5794275387,149,9,135.009452848252,52.1446954578061,0,6.7731816523,21.5342809577,8.0
366,5.34611123497,0.51276584577,0.372193567695,1.69463922275,149,7,135.009939358827,52.1419967505042,0,6.88054234574,21.9196103135,8.0
376,13081.3202405,0.984447612487,12.8379242782,2.70139031964,149,10,135.009283545537,52.1442255095504,2,0,0,0
417,2097.20245625,0.55813111451,6.14449302127,1.95553027151,149,10,135.009425329582,52.14441822239,2,0,0,0
441,5.7240371847,0.908732349892,0.182089633199,2.25139566842,149,7,135.011014414957,52.1459757717639,2,0,0,0
464,14.4831375769,0.944979568242,0.383669715126,2.31530540293,149,7,135.009885062916,52.1447842220672,1,11.4653129172,26.3544435437,8.0
483,618481.096575,0.955703865036,49.7246911766,2.54932428268,149,9,135.009035828411,52.1443513450798,1,197.523144011,505.163077658,8.0
493,170.079608702,0.292602105602,3.05852927043,1.50506492298,149,10,135.009481537404,52.1443871991616,2,0,0,0
515,13948.1094267,0.945771422772,12.8972535781,2.53396517762,149,9,135.008781415315,52.1443803223434,1,46.9718276602,137.290217315,8.0
525,413.659017245,0.747602876279,1.60224975332,2.29308388631,149,10,135.008769198387,52.1443783287282,2,0,0,0
547,23166.9877012,0.763816095972,12.9109313615,2.31878514884,149,10,135.008987454382,52.1444234623092,2,0,0,0
568,179926.283032,1.02157619515,49.681081772,2.76533062808,149,10,135.009508204392,52.1442938624593,2,0,0,0
580,86554.2736094,1.04161705253,24.8672886463,2.79961308388,149,10,135.008904209158,52.1444393616946,2,0,0,0
613,25157.683879,0.964083383462,12.9110140695,2.56377431441,149,9,135.009081981536,52.1443190154835,1,47.2053912314,127.179593888,8.0
640,2.2603752155,0.289173953728,0.373561246623,1.41927915088,149,8,135.006513596913,52.1443502894711,0,7.38307326448,17.3464911186,8.0
650,253005.957658,0.97596272822,49.6921490917,2.68582372263,149,10,135.009036847548,52.1443814141119,2,0,0,0
672,1010.01212673,0.908704385851,3.12073028097,2.48294872759,149,9,135.009391111429,52.1444144326783,0,10.3191621714,34.3508087141,8.0
684,73560.5531251,1.02553044576,24.8045764934,2.77269088345,149,10,135.009129727237,52.1444097824227,2,0,0,0
701,105.110315763,0.591633352863,1.47366120843,2.01976936683,149,10,135.009720718726,52.1439380961303,2,0,0,0
724,16334.3822113,0.553555234879,12.912262546,1.95583259253,149,10,135.008978581284,52.1444466542246,2,0,0,0
741,583.79315536,0.562029813385,3.13332962383,1.97165235036,149,10,135.009012459969,52.1442884425023,2,0,0,0
762,159.95536237,0.842255277352,1.47427041943,2.27870750896,149,8,135.009394147009,52.1441298427287,1,14.715718891,34.4174566172,8.0
772,768.243984044,0.768313743034,3.14096354515,2.32889879577,149,10,135.008689791901,52.1448558678835,2,0,0,0
797,4593.0643513,0.979396685081,6.24162575846,2.69530983329,149,10,135.00833685894,52.1443478292253,2,0,0,0
819,132742.641754,0.975690621101,24.8552090579,2.68592578377,149,10,135.009063011895,52.1443527230881,2,0,0,0
832,62.4059092431,0.290777560154,1.55638196792,1.50191898449,149,10,135.007939323744,52.1444788388545,2,0,0,0
853,91840.1648133,0.277289514189,49.747675232,1.47887051645,149,10,135.009039152867,52.1443921392395,2,0,0,0
873,45975.6181207,0.753043936158,24.8404904279,2.30111773631,149,10,135.008989880789,52.144383337312,2,0,0,0
897,539.108977189,0.858951549528,3.03124984481,2.41640187044,149,9,135.009431802552,52.1442583386249,0,7.8130249961,20.6398992416,8.0
912,164111.196512,0.962132263944,49.6511694531,2.56038565988,149,9,135.009048017561,52.1443865157292,1,84.376000728,266.888605265,8.0
923,0.718749557256,0.579497727988,0.736920441977,2.01504587211,149,10,135.009114907632,52.1445929819869,2,0,0,0
946,65636.4070161,0.544359768675,24.8664947886,1.94057170916,149,10,135.008990985448,52.1443713009553,2,0,0,0
965,163067.465142,0.53318282611,49.7396345461,1.92104320501,149,10,135.009038533221,52.1443790730285,2,0,0,0
997,445.563888542,0.93952631193,49.7487245019,2.5233579507,149,9,135.008929035874,52.1444855493784,1,146.659027432,357.391556775,8.0
1007,13357.4804455,0.290120833476,12.9359519649,1.50151179913,149,10,135.009031726383,52.1443809287371,2,0,0,0
1026,17140.2828299,0.261292441939,24.8766665495,1.45167648862,149,10,135.009003940957,52.1443989434294,2,0,0,0
1050,856.387408652,0.251251406442,6.40180067569,1.62525338519,149,10,135.012318756487,52.1450441852487,2,0,0,0
1072,8806.28862771,1.28557531015,12.7648127937,4.20067911825,149,10,135.009420450252,52.1445798325759,2,0,0,0
1090,357796.063459,1.5999888577,49.7198676311,4.98047346341,149,10,135.009034763645,52.1442832901079,2,0,0,0
