#Runcat,eta,V,flux,fluxrat,freq,dpts,RA,Dec,ttype,maxRmsSigma,minRmsSigma,detectionThreshold
2122,29983.1419268,0.605028287889,24.8326392264,2.50480133675,149,10,135.008998862085,52.1444547245924,2,0,0,0
2139,116777.14861,0.587801576524,49.7218179365,2.46222651851,149,10,135.009043118571,52.144412780033,2,0,0,0
2156,539174.940081,1.56530588458,49.7420483052,4.89421264288,149,10,135.008659976658,52.1446366315395,2,0,0,0
2171,3232.37963565,0.284304558759,12.9183078758,1.70763439085,149,10,135.009069639998,52.1444020619092,2,0,0,0
2196,10606.3021524,0.252453904219,24.8205028113,1.62817625728,149,10,135.009027503845,52.1444025927618,2,0,0,0
2212,683.221113139,0.28388445134,6.21916817964,1.80794290478,149,10,135.009035415683,52.1444778766885,2,0,0,0
2230,352.87040256,1.94820325625,12.9065181713,6.54468179288,149,10,135.008771315138,52.1441274175826,2,0,0,0
2256,489766.097161,2.19833782315,49.683837089,4.93250620048,149,5,135.009059624538,52.1443959908359,1,1351.51675231,4075.87130085,8.0
2276,10618.4435696,2.22435795331,6.25404821953,4.97905138445,149,5,135.009048874138,52.1444144554138,1,144.209184964,502.793447295,8.0
2285,22328.8715949,1.94093691669,24.7658245593,6.52400280168,149,10,135.009855938802,52.1444252498739,2,0,0,0
2308,4370.49223766,2.12064790382,6.18491444864,4.7935246809,149,5,135.009064968691,52.1443678490431,1,111.969706826,341.620597599,8.0
2328,192297.558137,2.23122069591,24.8750777412,4.99132884054,149,5,135.009072666331,52.1443929462409,1,902.536900762,2141.59422566,8.0
2350,94844.7055483,2.19886864735,24.8498782839,4.93345570736,149,5,135.00903516846,52.1443826605063,1,906.124052037,2096.53561629,8.0
2358,2567.6032601,1.3479314629,6.21072760154,4.8362722651,149,10,135.007824959295,52.1444721110641,2,0,0,0
2380,130.993649092,1.93794964633,0.788709895193,4.46663485326,149,5,135.008826591364,52.1444733091913,1,20.0818993974,70.2970975126,8.0
2388,4048.65167786,2.01940361852,6.19627849712,6.74731503224,149,10,135.011267222756,52.1444596560147,2,0,0,0
2405,157893.985098,1.88113033586,49.7312572756,6.35379074062,149,10,135.00908548693,52.1443614872953,2,0,0,0
2434,4.67996526926,2.13657900581,1.55665431514,4.82202196913,149,5,135.00929090137,52.1442719507387,1,53.9527658148,140.626399174,8.0
2444,71001.7728149,1.30998740979,49.6007111677,4.72828928219,149,10,135.008860884271,52.1445780476152,2,0,0,0
2462,12.2867135412,0.312537328257,0.732693638291,1.88792180326,149,10,135.00943278277,52.144600650923,2,0,0,0
2488,133.500916732,1.31997481656,0.76457609216,3.36115606445,149,5,135.008557387739,52.1441469980513,1,22.9278369973,60.7196331764,8.0
2510,3.79433669896,1.98465557568,12.6071052814,4.55025900599,149,5,135.008884951087,52.1439879260963,1,301.619555412,628.133665098,8.0
2527,2.48515437011,0.419273170238,0.184980165973,1.74970504509,149,5,135.009886907779,52.1439725997517,0,4.86722236782,17.1290245061,8.0
2551,1782.65531477,2.13742728239,3.18307240178,4.82354170232,149,5,135.009015128129,52.1443913148036,1,78.1790781892,233.251582718,8.0
2566,14.9543681676,0.844366226567,0.365292506609,2.51030055376,149,5,135.00992447324,52.1427556702858,0,7.59397021196,25.9440551667,8.0
2579,6137.76842491,2.50879687598,12.8345702516,8.14015940026,149,10,135.003927726019,52.145062378939,2,0,0,0
2616,2640.24784306,0.727705720343,6.23992561321,3.07108367619,149,10,135.009042759142,52.1443171761901,2,0,0,0
2669,3.36923337378,2.00029986017,0.401201236842,4.57819460001,149,5,135.00841360538,52.144774160297,1,19.2017927735,38.2406078444,8.0
2683,214243.511988,2.2193186841,49.6822536154,4.97003794218,149,5,135.009086749901,52.1444096584262,1,1301.23876288,2927.35260731,8.0
2692,200.808944194,0.292317596727,3.16332916627,1.831941639,149,10,135.009019520582,52.144420552215,2,0,0,0
2732,16068.0360873,2.17673224956,12.7716755779,4.89385611227,149,5,135.009063351251,52.1443917196442,1,281.230417236,782.78046544,8.0
2739,166.913223947,1.35739602254,1.57155726315,4.86314839951,149,10,135.005540371859,52.1447254514113,2,0,0,0
2759,8379.28547267,1.33870517416,12.8905142932,4.81001901203,149,10,135.00945434415,52.1441750287597,2,0,0,0
2778,129633.541981,2.74515236541,49.7025049186,8.81284042226,149,10,135.009260911779,52.1442360221954,2,0,0,0
2797,87038.3840478,2.94123643647,24.8467765418,9.37090536291,149,10,135.009025115189,52.1456659502576,2,0,0,0
2826,21296.2169018,2.24574973442,12.8706335412,5.01731915303,149,5,135.009072675564,52.1444143843092,1,229.237688441,792.321352315,8.0
2840,4.30182995355,0.424558536673,0.372458379717,1.75939321448,149,5,135.009286005332,52.1447004896106,1,12.8984673427,22.5984302106,8.0
2845,91990.6981093,2.40047051533,49.6969713498,7.83185878846,149,10,135.008909066209,52.1445007453636,2,0,0,0
2882,662.814379349,1.92433244787,3.13105908714,4.44233382865,149,5,135.00920347955,52.1445726815518,1,82.9805517029,302.736329764,8.0
2895,84332.4492627,2.72271158859,24.8737619274,8.74897287969,149,10,135.009603997199,52.144570416572,2,0,0,0
2918,69.6826749128,0.760167927402,1.5567604698,3.1634252787,149,10,135.009366035173,52.1448855440862,2,0,0,0
2936,5215.99990667,0.755523447848,12.8452081712,3.15025709347,149,10,135.008993540336,52.1442930658042,2,0,0,0
2957,387.190342128,0.763898739943,3.1530024916,3.1740221776,149,10,135.008119960437,52.1438873103065,2,0,0,0
2991,246.348830089,1.80164634915,1.50633669629,4.22288072511,149,5,135.008886325869,52.1444749964408,1,22.5094822455,98.9100315803,8.0
3002,433.13375594,1.36696867301,3.14852275111,4.89044500573,149,10,135.00781993101,52.1451901485752,2,0,0,0
3023,4542.79745262,1.98524371635,6.20308412123,4.55130982787,149,5,135.009088793158,52.1444108862067,1,132.472404106,477.414578788,8.0
3033,54583.9042932,2.42582338652,24.8065966089,7.90401313841,149,10,135.008554449122,52.1448761068991,2,0,0,0
3052,57.6604707789,0.310127951381,1.54565194645,1.88252932687,149,10,135.00898115193,52.1445589137316,2,0,0,0
3064,51572.7373721,0.287013617818,49.7604395505,1.8168550623,149,10,135.009039267203,52.1443862127342,2,0,0,0
3085,88565.71572,1.28141065255,24.8737410952,4.64695822501,149,10,135.009056018683,52.1444188266314,2,0,0,0
3106,800.256241556,1.91516735624,3.15867323681,6.4506278229,149,10,135.011032167165,52.1425303990476,2,0,0,0
3133,473348.396249,2.23712250169,49.7324481014,5.00188637203,149,5,135.009048257457,52.1443902185787,1,2337.86977047,4160.6221536,8.0
