#Runcat,eta,V,flux,fluxrat,freq,dpts,RA,Dec,ttype,maxRmsSigma,minRmsSigma,detectionThreshold
4221,45598.5276769,0.416888871382,24.855344405,1.50923678243,149,10,135.00908121091,52.1443811736503,2,0,0,0
4237,201702.073696,0.409141555477,49.7517121753,1.49899950578,149,10,135.009075403413,52.1443924170575,2,0,0,0
4250,180566.560275,0.662101535613,49.6676933233,1.80810436519,149,10,135.009253097437,52.1444778211729,2,0,0,0
4269,5534.28246784,0.24970844413,12.8344365479,1.30459617314,149,10,135.009076947191,52.1443401471334,2,0,0,0
4294,18450.0689365,0.226666682919,24.8334870542,1.27692099606,149,10,135.009026132279,52.1443829025004,2,0,0,0
4311,777.469166781,0.227623469915,6.24410185112,1.28513787523,149,10,135.009320483348,52.1439074466595,2,0,0,0
4328,24673.9795706,0.584631546017,12.939883186,1.73259429504,149,10,135.008907296564,52.1444029729108,2,0,0,0
4350,224222.478941,0.650302376666,49.6718315013,1.81470480518,149,10,135.009089254548,52.1443757514687,2,0,0,0
4361,11852.1594025,0.654697641584,6.25234784868,1.82052351957,149,10,135.008990752017,52.1444931910924,2,0,0,0
4376,25510.5411123,0.583952617865,24.821366581,1.73169466092,149,10,135.008858041417,52.1443703372664,2,0,0,0
4406,5811.04030684,0.638698384691,6.24247795722,1.80025358561,149,10,135.009220769645,52.1444534212708,2,0,0,0
4425,71045.0956866,0.655243771878,24.8066936952,1.82094027426,149,10,135.009093355851,52.14438814696,2,0,0,0
4446,18544.0516404,0.655968680764,24.618506096,1.82341379159,149,10,135.008809017412,52.144663774021,2,0,0,0
4466,4085.98254836,0.526768830009,6.23125034409,1.66220145577,149,10,135.00900636195,52.1444347619473,2,0,0,0
4489,42.3420511307,0.661032153764,0.768368699083,1.83969407637,149,10,135.00945208447,52.1444226695372,2,0,0,0
4508,2503.00774229,0.600785800681,6.15250827608,1.75472079592,149,10,135.009347558702,52.1440691548347,2,0,0,0
4524,107664.389948,0.582621683428,49.6956517056,1.73016410673,149,10,135.009032274646,52.144416975328,2,0,0,0
4541,338.687050139,0.66054124968,1.56293736786,1.83422307227,149,10,135.008322028339,52.1444530906965,2,0,0,0
4560,127928.540596,0.519258457705,49.6609461769,1.65029376947,149,10,135.009077565763,52.1443838927619,2,0,0,0
4583,0.0923857360195,0.230966929073,0.764151155031,1.29370537097,149,10,135.006775005313,52.1442855391936,2,0,0,0
4607,90.454436486,0.531254740847,0.776473520807,1.67224898949,149,10,135.008726444845,52.1444533798241,2,0,0,0
4625,20035.2527974,0.64044235497,12.8696522809,1.80255380315,149,10,135.008974500985,52.1442764993429,2,0,0,0
4645,1.42146452667,0.230864484652,0.178624828802,1.29647214614,149,10,135.007094544646,52.1447218906089,2,0,0,0
4667,2048.13761979,0.662497583723,3.15724954605,1.83181282148,149,10,135.008988731527,52.144581616355,2,0,0,0
4681,14.59431209,0.4013397516,0.38270430193,1.50135052756,149,10,135.009918572353,52.1438720569504,2,0,0,0
4703,23616.3097095,0.619786109203,12.919223175,1.77629075289,149,10,135.009431239973,52.1445520958189,2,0,0,0
4736,1784.20731945,0.40805965536,6.2193131351,1.51067202754,149,10,135.009008013434,52.1443557811636,2,0,0,0
4762,3.2161715365,0.621805680963,0.20011771014,1.84627983558,149,10,135.011023288358,52.1431955017797,2,0,0,0
4775,7.83476802394,0.712378725474,0.3536249006,1.92744543507,149,10,135.008479822247,52.1450155395745,2,0,0,0
4795,568028.241686,0.651393166099,49.7300441364,1.81556973689,149,10,135.00905884324,52.1443813851469,2,0,0,0
4817,306.809543013,0.237319447798,3.1206363897,1.29866823064,149,10,135.009228429444,52.1444312176404,2,0,0,0
4834,11151.8709068,0.649001092354,12.8518415255,1.81402088917,149,10,135.009083823941,52.144549677245,2,0,0,0
4856,191.107517382,0.529272920711,1.56548835254,1.66504433067,149,10,135.008562938256,52.1442390899236,2,0,0,0
4881,12626.3164474,0.521394617967,12.930949122,1.65310580776,149,10,135.00909953249,52.1444108224017,2,0,0,0
4897,156736.347637,0.636526247446,49.6658664573,1.79704688247,149,10,135.008928626799,52.1446763702667,2,0,0,0
4919,76345.4909836,0.646552046291,24.8141940728,1.81008818782,149,10,135.008827172179,52.1444967988474,2,0,0,0
4936,14728.9472646,0.656190800446,12.8657160402,1.82364857659,149,10,135.008895175298,52.1443847695267,2,0,0,0
4953,3.49430156365,0.268325278103,0.363843562388,1.34366057652,149,10,135.008811488059,52.1445930632444,2,0,0,0
4965,139275.408493,0.618734097103,49.6231654906,1.77498610202,149,10,135.009184189197,52.1443748437482,2,0,0,0
4984,1216.02694272,0.611434627136,3.20215247543,1.76752851064,149,10,135.008967624449,52.1445104694448,2,0,0,0
5010,17609.3109257,0.636623136934,24.832666556,1.79728735367,149,10,135.008949228437,52.1444824644038,2,0,0,0
5030,291.043488035,0.405395454166,1.59967219439,1.50975287107,149,10,135.009180739501,52.1446766787143,2,0,0,0
5052,9890.00186139,0.410210334788,12.9378472491,1.51374777677,149,10,135.009028193797,52.1443894804143,2,0,0,0
5072,1140.01607739,0.416039838043,3.15335402083,1.52246762607,149,10,135.009346814755,52.1443419231137,2,0,0,0
5089,152.186417736,0.611218819852,1.50984045147,1.7830178042,149,10,135.008360562761,52.1448161869503,2,0,0,0
5105,418.474408937,0.533119204532,3.1303239344,1.67010245224,149,10,135.008374322107,52.1441033094035,2,0,0,0
5125,5904.89466966,0.621303568633,6.24262904626,1.78054110983,149,10,135.009746132284,52.1445348190356,2,0,0,0
5141,53652.513368,0.620024454334,24.7918358468,1.776459242,149,10,135.009031189348,52.1443387409395,2,0,0,0
5162,56.2459435825,0.24200338574,1.56037528524,1.30512822294,149,10,135.008516171304,52.1444348881939,2,0,0,0
5181,51186.6699998,0.232137390335,49.7068475967,1.29077356614,149,10,135.009070081416,52.1443803471608,2,0,0,0
5201,22799.5269908,0.517953487453,24.8096583642,1.64881461408,149,10,135.008886160795,52.1443623710476,2,0,0,0
5218,549.714462308,0.59961375551,3.12320282956,1.75288449449,149,10,135.008819949916,52.1444938606089,2,0,0,0
5239,168656.861508,0.65590400344,49.6053577737,1.82201444386,149,10,135.009009708726,52.1444032371591,2,0,0,0
5258,22.3883626902,0.442871862799,0.70399012743,1.56724049863,149,10,135.009847094805,52.1445997797605,2,0,0,0
