#Runcat,eta,V,flux,fluxrat,freq,dpts,RA,Dec,ttype,maxRmsSigma,minRmsSigma,detectionThreshold
7384,30206.8424503,0.632447163481,24.804338585,1.60013753686,149,10,135.009101044798,52.1444231369661,2,0,0,0
7402,209805.558403,0.61964187527,49.7228398321,1.58794886061,149,10,135.008999632458,52.1444252416231,2,0,0,0
7425,615178.78465,1.03805872801,49.7111751919,1.98483416156,149,10,135.00885846361,52.1446123932139,2,0,0,0
7448,6277.74461136,0.366521625871,12.9214715727,1.34800306615,149,10,135.009039987588,52.144383364151,2,0,0,0
7463,12689.8766804,0.336053519999,24.6696548807,1.31939959005,149,10,135.008938595473,52.1445333202849,2,0,0,0
7476,1901.9933943,0.347108244914,6.22088044254,1.33010826577,149,10,135.009072270865,52.1443438850277,2,0,0,0
7492,32534.3620376,0.939660168723,12.8837751829,1.891585605,149,10,135.009434918016,52.1447227608671,2,0,0,0
7509,737204.319952,1.04606478715,49.7378674301,1.99258200873,149,10,135.009551009947,52.1442548325723,2,0,0,0
7524,10881.8271027,1.05257214805,6.22625563577,1.99966469673,149,10,135.009090648619,52.144382962134,2,0,0,0
7544,90805.5840566,0.931174959134,24.8174650381,1.88386305964,149,10,135.009121719031,52.1444146221642,2,0,0,0
7562,16413.1446862,1.02200138557,6.23766540151,1.97003493174,149,10,135.00909226808,52.1443865128975,2,0,0,0
7587,177535.721325,1.05214397779,24.8613326648,1.99833870305,149,10,135.009032110786,52.1443996627668,2,0,0,0
7608,226379.812011,1.04499750899,24.8785354336,1.99174900551,149,10,135.009039727554,52.1443829014505,2,0,0,0
7625,3783.60785085,0.832318639644,6.20468315186,1.79019240772,149,10,135.008936975607,52.1443114060951,2,0,0,0
7647,177.166255183,1.07109801766,0.772829672394,2.02358048334,149,10,135.008929261249,52.1441825086995,2,0,0,0
7660,11931.7992542,0.93884486315,6.22609042446,1.8916205689,149,10,135.0094732077,52.1443392092702,2,0,0,0
7679,407660.846747,0.928066963948,49.7352462944,1.88054307951,149,10,135.008953554936,52.1444044667873,2,0,0,0
7697,924.61316108,1.05329299779,1.58644814785,2.00099910306,149,10,135.008951523164,52.1441932014346,2,0,0,0
7720,191965.091085,0.821541850525,49.637676778,1.77970580772,149,10,135.008947961763,52.1443944730246,2,0,0,0
7739,50.2576892333,0.347069364646,0.786117824032,1.33070572531,149,10,135.009363790089,52.1448089561689,2,0,0,0
7754,50.7032596599,0.852710603308,0.735858555059,1.81554466512,149,10,135.009138162446,52.143687041768,2,0,0,0
7776,19971.9453366,1.03160295356,12.8256790589,1.97997446713,149,10,135.009740845837,52.1443661487132,2,0,0,0
7810,2825.52191588,1.05851285466,3.15751957489,2.00596206949,149,10,135.009060390444,52.1444465617492,2,0,0,0
7825,8.84246716714,0.682714365009,0.323380375793,1.6751920821,149,10,135.007203839856,52.1466713230315,2,0,0,0
7844,62212.3864689,0.992222910256,12.9287018158,1.94197864848,149,10,135.008217240312,52.1442531433455,2,0,0,0
7867,3.50832510073,0.792879349455,0.120090765781,1.86452871346,149,10,135.002354614994,52.1451945294545,2,0,0,0
7886,6955.62960987,0.628524054113,6.26191797909,1.59698030734,149,10,135.009235628367,52.1443329415221,2,0,0,0
7911,5.81941848101,1.02601313854,0.171144050506,2.04675851347,149,10,135.006969581892,52.1454838102713,2,0,0,0
7927,22.3189840179,0.990151825031,0.387989124815,1.96661836417,149,10,135.012088846774,52.1440745960048,2,0,0,0
7938,248424.447858,1.05065631018,49.7361306377,1.99714638071,149,10,135.009059945261,52.1443927136828,2,0,0,0
7955,485.452392829,0.359500895286,3.12129286051,1.34185232671,149,10,135.009320382129,52.1446103944368,2,0,0,0
7973,64956.8520607,1.03654490478,12.9414007352,1.9835629654,149,10,135.009051204096,52.1444008742325,2,0,0,0
7988,295.162372704,0.838646571896,1.54761231846,1.79907068651,149,10,135.009454546648,52.1443276355742,2,0,0,0
8009,42238.0662188,0.824025899738,12.9249588103,1.78226732849,149,10,135.009210999321,52.1443257165974,2,0,0,0
8033,5.70607975219e-06,0.00084734270374,1.94974444119,1.0013464637,149,5,135.055016504379,52.1773532427351,1,73.471496767,183.586063745,8.0
8024,2860.21520696,1.022525373,49.7734130209,1.97030253801,149,10,135.009063118048,52.1444715800862,2,0,0,0
8039,162949.833484,1.03901159863,24.8466530003,1.98586571579,149,10,135.007930826097,52.1439721602113,2,0,0,0
8055,27481.9966751,1.05156388121,12.9045998836,1.99791040389,149,10,135.008931648991,52.1443913227441,2,0,0,0
8080,14.4468120378,0.354996198926,0.379798553016,1.34580821852,149,10,135.009574402659,52.1445365255373,2,0,0,0
8096,445126.294364,0.993500140939,49.6191041069,1.94278668656,149,10,135.009081840931,52.1442871773917,2,0,0,0
8112,1765.57397107,0.992512044844,3.14809260804,1.94503999251,149,10,135.009053748994,52.1444676967857,2,0,0,0
8132,339403.958765,1.02064288303,24.8749481361,1.96853265828,149,10,135.00904369966,52.1444885667823,2,0,0,0
8159,446.954721622,0.64253717607,1.57186282967,1.61155407093,149,10,135.008409098549,52.1444998324843,2,0,0,0
8178,45165.6490672,0.638734499183,12.9222886662,1.60630477748,149,10,135.009099551843,52.1443291775418,2,0,0,0
8192,1818.60964437,0.640593512763,3.17000623241,1.60922176548,149,10,135.008717426599,52.1444847042452,2,0,0,0
8212,918.250558573,0.94591328682,1.57305835041,1.90232615337,149,10,135.009080999539,52.1445384000937,2,0,0,0
8225,1889.07736258,0.806748646384,3.20514180572,1.76647998083,149,10,135.005742022917,52.1444240027342,2,0,0,0
8242,11247.5781146,0.989735832691,6.26551375886,1.93932494726,149,10,135.007926131428,52.1451472894968,2,0,0,0
8278,198.712314163,0.358788133778,1.59048957424,1.34589983883,149,10,135.009067268476,52.1444842432887,2,0,0,0
8302,80971.3921366,0.3519436535,49.6879353965,1.33401130502,149,10,135.009056020716,52.1443921618554,2,0,0,0
8317,54406.8628252,0.819467206174,24.7882232998,1.77749948424,149,10,135.0089913696,52.1443726456731,2,0,0,0
8337,3390.85732213,0.937333059108,3.15902819516,1.89016827214,149,10,135.009040473885,52.1444077135482,2,0,0,0
8363,1111665.3067,1.0534651819,49.761904918,1.99950398746,149,10,135.009052190641,52.1443922190882,2,0,0,0
8383,0.300507465464,0.5402266333,0.726145857806,1.51955325763,149,10,135.00824783699,52.1443943553832,2,0,0,0
